f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type,ln_price,n_beds2,ln_bathrooms,ln_number_of_reviews,n_days_since_rv2,n_days_since_host2,n_days_since_host3,n_host_acceptance_rate2,n_host_response_rate2,ln_host_total_listings_count,n_bedrooms2,flag_days_since_rv,flag_review_scores_rating,flag_reviews_per_month,flag_number_of_reviews,flag_host_response_rate,flag_host_acceptance_rate
apartment,Ward 21,2099,2998,100,100,0,3,2,2,32,98,3,0.46,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,600,732339,Ward 21,apartment,6.396929655216146,4,0,3.4965075614664802,4405801,8988004,26946035992,10000,10000,0,4,0,0,0,0,0,0
apartment,Ward 21,2548,2999,100,100,0,3,2,2,40,96,3,0.47,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,500,732409,Ward 21,apartment,6.214608098422191,4,0,3.713572066704308,6492304,8994001,26973008999,10000,10000,0,4,0,0,0,0,0,0
apartment,Ward 115,493,2991,79,94,72,2,1,2,3,100,71,0.18,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,750,742345,Ward 115,apartment,6.620073206530356,4,0,1.3862943611198906,243049,8946081,26757728271,8836,6241,4.290459441148391,1,0,0,0,0,0,0
apartment,Ward 115,2696,3129,97,96,62,2,1,1,13,80,64,0.14,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,912,751785,Ward 115,apartment,6.815639990074331,1,0,2.6390573296152584,7268416,9790641,30634915689,9216,9409,4.143134726391533,1,0,0,0,0,0,0
apartment,Ward 115,2961,2990,100,96,1,2,1,1,31,98,1,0.31,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,950,753843,Ward 115,apartment,6.856461984594587,1,0,3.4657359027997265,8767521,8940100,26730899000,9216,10000,0.6931471805599453,1,0,0,0,0,0,1
loft,Ward 115,2928,2981,90,50,1,6,3,4,89,98,1,0.91,3.5,1,1,1,0,1,1,1,1,0,0,0,1,1,0,3696,757856,Ward 115,loft,8.215006432761575,16,1.252762968495368,4.499809670330265,8573184,8886361,26490242141,2500,8100,0.6931471805599453,9,0,0,0,0,0,0
apartment,Ward 74,2675,2977,100,97,6,2,1,1,119,97,3,1.33,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1150,762660,Ward 74,apartment,7.047517221357296,1,0,4.787491742782046,7155625,8862529,26383748833,9409,10000,1.9459101490553132,1,0,0,0,0,0,0
apartment,Ward 54,2912,2972,100,50,1,2,1,1,9,95,1,0.09,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,880,768582,Ward 54,apartment,6.779921907472252,1,0,2.302585092994046,8479744,8832784,26251034048,2500,10000,0.6931471805599453,1,0,0,0,0,0,0
apartment,Ward 77,2938,2972,100,94,1,2,1,2,229,98,1,2.34,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,393,771176,Ward 77,apartment,5.973809611869261,4,0,5.438079308923196,8631844,8832784,26251034048,8836,10000,0.6931471805599453,1,0,0,0,0,0,0
apartment,Ward 54,1864,2971,80,100,4,4,2,2,3,100,3,0.05,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,5500,772018,Ward 54,apartment,8.612503371220562,4,0,1.3862943611198906,3474496,8826841,26224544611,10000,6400,1.6094379124341003,4,0,0,0,0,0,0
apartment,Ward 23,2238,3128,97,96,62,4,2,2,9,82,64,0.12,2,0,1,1,1,0,1,1,0,0,0,1,1,1,0,2525,777305,Ward 23,apartment,7.83399634170946,4,0.6931471805599453,2.302585092994046,5008644,9784384,30605553152,9216,9409,4.143134726391533,4,0,0,0,0,0,0
apartment,Ward 115,2193,3129,97,96,62,4,2,3,4,80,64,0.05,2,0,1,1,1,1,1,1,0,0,0,0,1,1,0,3010,777329,Ward 115,apartment,8.009695357742922,9,0.6931471805599453,1.6094379124341003,4809249,9790641,30634915689,9216,9409,4.143134726391533,4,0,0,0,0,0,0
apartment,Ward 77,2813,2963,100,100,3,3,2,2,29,97,2,0.31,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,2120,784349,Ward 77,apartment,7.659171367666058,4,0,3.4011973816621555,7912969,8779369,26013270347,10000,10000,1.3862943611198906,4,0,0,0,0,0,0
apartment,Ward 115,2762,2955,100,100,2,2,1,1,57,99,3,0.62,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1579,801399,Ward 115,apartment,7.364547014255642,1,0,4.060443010546419,7628644,8732025,25803133875,10000,10000,1.0986122886681098,1,0,0,0,0,0,0
apartment,Ward 115,2285,2954,100,100,2,2,1,2,32,96,3,0.42,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1800,801953,Ward 115,apartment,7.495541943884256,4,0,3.4965075614664802,5221225,8726116,25776946664,10000,10000,1.0986122886681098,1,0,0,0,0,0,0
apartment,Ward 77,767,3504,100,100,1,4,2,4,0,97,1,0.54,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,2500,833429,Ward 77,apartment,7.824046010856292,16,0.6931471805599453,0,588289,12278016,43022168064,10000,10000,0.6931471805599453,4,1,1,1,1,1,0
