f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
apartment,Ward 54,NA,1484,NA,50,1,3,2,2,0,NA,1,NA,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1800,40793358,Ward 54,apartment
apartment,Ward 115,347,979,98,97,89,2,1,1,6,97,78,0.52,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,2120,40794107,Ward 115,apartment
apartment,Ward 54,321,3176,100,94,5,5,2,2,3,100,4,0.28,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,4500,40794429,Ward 54,apartment
apartment,Ward 23,327,3128,97,96,62,2,1,0,3,93,64,0.27,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1135,40794444,Ward 23,apartment
apartment,Ward 23,NA,2983,100,87,88,4,1,2,0,NA,75,NA,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1750,40794459,Ward 23,apartment
apartment,Ward 54,360,761,100,100,3,4,2,2,13,98,4,1.08,2,1,1,1,1,1,1,1,1,0,0,1,1,1,0,3500,40796994,Ward 54,apartment
apartment,Ward 115,109,1064,100,98,9,2,1,1,2,100,9,0.55,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,600,40799877,Ward 115,apartment
apartment,Ward 55,347,476,NA,100,0,4,1,2,7,97,1,0.6,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1176,40803513,Ward 55,apartment
apartment,Ward 64,354,384,0,67,1,2,2,1,5,92,1,0.42,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,400,40809491,Ward 64,apartment
apartment,Ward 115,357,1017,100,43,1,2,1,1,3,100,1,0.25,1.5,0,1,0,0,1,1,1,0,0,0,0,1,1,0,850,40809754,Ward 115,apartment
apartment,Ward 54,345,1599,100,100,4,2,1,1,3,100,4,0.26,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,3329,40811364,Ward 54,apartment
apartment,Ward 115,351,3079,100,94,3,2,1,2,8,100,3,0.68,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,650,40813251,Ward 115,apartment
apartment,Ward 83,NA,2118,100,61,18,4,2,NA,0,NA,12,NA,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1100,40815561,Ward 83,apartment
apartment,Ward 54,361,812,100,96,12,2,1,1,24,97,15,1.99,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1300,40828128,Ward 54,apartment
apartment,Ward 8,357,377,NA,100,2,2,NA,2,1,100,2,0.08,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,650,40832071,Ward 8,apartment
apartment,Ward 8,NA,377,NA,100,2,2,1,1,0,NA,2,NA,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,650,40832564,Ward 8,apartment
apartment,Ward 115,339,375,NA,100,0,2,NA,1,5,88,1,0.44,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,450,40833395,Ward 115,apartment
apartment,Ward 55,NA,2108,NA,NA,2,2,1,0,0,NA,2,NA,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1250,40833463,Ward 55,apartment
apartment,Ward 64,NA,2195,100,50,0,2,1,1,0,NA,1,NA,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1500,40836866,Ward 64,apartment
